headword,pos,freq_rank
healthy,adj.,1468
following,n./adj.,1471
medicine,n./v.,1473
tour,n./v.,1474
depend,v.,1475
direct,adj./v./adv.,1478
classroom,n.,1479
justice,n.,1481
photograph,n./v.,1481
participate,v.,1482
daily,adj./adv./n.,1483
fair,n./adj./adv./v.,1484
pair,n./v.,1485
famous,adj.,1486
exercise,n./v.,1487
knee,n./v.,1488
flower,n./v.,1489
tape,n./v.,1490
hire,n./v.,1491
familiar,adj./n.,1492
appropriate,adj.,1493
supply,n./v.,1494
actor,n.,1497
birth,n.,1499
search,n./v.,1500
tie,n./v.,1501
eastern,n./adj.,1503
primary,n./adj.,1504
yesterday,n./adv.,1505
circle,n./v.,1506
progress,n./v.,1508
bottom,n./adj./v.,1511
island,n./v.,1512
exchange,n./v.,1513
clean,adj./adv./v./n.,1514
studio,n.,1515
train,n./v.,1516
lady,n.,1517
colleague,n.,1518
application,n.,1519
neck,n./v.,1521
damage,n./v.,1522
plastic,n./adj.,1523
tall,adj./adv.,1524
plate,n./v.,1525
hate,n./v.,1526
otherwise,adv.,1527
writing,n.,1528
male,n./adj.,1530
alive,adj.,1532
expression,n.,1533
football,n.,1534
intend,v.,1536
chicken,n.,1538
army,n.,1539
abuse,n./v.,1540
shut,n./v.,1541
map,n./v.,1542
extra,n./adj./adv.,1543
session,n.,1544
welcome,n./adj./v./int.,1545
danger,n.,1546
earth,n./v.,1547
literature,n.,1549
rain,n./v.,1550
desire,n./v.,1551
assessment,n.,1552
injury,n.,1553
respect,n./v.,1554
paint,n./v.,1555
northern,n./adj.,1556
nod,n./v.,1557
fuel,n./v.,1558
leaf,n./v.,1559
dry,adj./v./n.,1561
instruction,n.,1563
pool,n./v.,1565
climb,v./n.,1566
sweet,n./adj.,1567
engine,n./v.,1569
fourth,num.,1570
salt,n./adj./v.,1571
expand,v.,1572
importance,n.,1573
metal,n./adj./v.,1574
fat,n./adj.,1575
ticket,n./v.,1576
software,n.,1577
disappear,v.,1578
strange,adj.,1580
reading,n./adj.,1581
lip,n./v./adj.,1582
urban,adj.,1583
mental,adj./n.,1584
lunch,n.,1586
somewhere,adv.,1588
farmer,n.,1589
sugar,n./v.,1591
planet,n.,1592
explore,v.,1594
obtain,v.,1595
enemy,n./adj.,1596
complex,n./adj.,1598
surround,v./n.,1599
athlete,n.,1600
invite,v./n.,1601
repeat,n./v.,1602
soul,n./adj.,1604
scientific,adj.,1605
impossible,adj.,1606
meaning,n./adj.,1608
married,adj.,1610
instrument,n.,1611
predict,v.,1613
weather,n./adj./v.,1614
commitment,n.,1616
supreme,n./adj.,1618
bear,n./v.,1619
pocket,n./v./adj.,1620
thin,adj./v./adv./n.,1621
temperature,n.,1622
surprise,n./v.,1624
consequence,n.,1626
breath,n.,1628
sight,n./v./adj.,1629
balance,n./v.,1631
adopt,v.,1632
minority,n./adj.,1633
straight,n./adj./adv.,1634
connect,v.,1636
works,n.,1637
belong,v.,1639
aid,n./v.,1640
advice,n.,1641
empty,adj./n./v.,1644
novel,n./adj.,1647
breast,n./v.,1652
acknowledge,v.,1654
theme,n.,1655
storm,n./v.,1656
union,n.,1658
desk,n.,1659
fruit,n.,1662
expensive,adj.,1664
yellow,n./adj.,1665
conclusion,n.,1666
shadow,n./v.,1668
struggle,n./v.,1669
conclude,v.,1670
dance,n./v.,1671
organise,v.,1672
regulation,n.,1675
being,n.,1676
ring,n./v.,1678
mark,n./v.,1683
appearance,n.,1684
package,n./v./adj.,1685
difficulty,n.,1686
bridge,n./v.,1687
recommend,v.,1688
obvious,adj.,1689
thinking,n./adj.,1695
trend,n./v.,1697
visitor,n.,1698
comfortable,adj./n.,1701
profit,n./v.,1704
angry,adj.,1705
crew,n.,1706
accident,n.,1707
meal,n./v.,1710
hearing,n.,1711
traffic,n./v.,1712
prefer,v.,1716
chest,n.,1717
truly,adv.,1719
thick,adj./adv./n.,1721
cash,n./v.,1722
museum,n.,1723
beauty,n.,1724
emergency,n.,1725
unique,adj.,1726
link,n./v.,1730
stress,n./v.,1731
content,n./adj./v.,1732
select,adj./v./n.,1733
root,n./v.,1734
nose,n./v.,1735
declare,v.,1736
appreciate,v.,1738
actual,adj.,1739
bottle,n./v.,1740
hardly,adv.,1741
file,n./v.,1745
sick,n./adj./v.,1746
outcome,n.,1747
defend,v.,1750
duty,n.,1752
sheet,n./v./adj.,1753
ought,aux./n.,1755
extremely,adv.,1756
catholic,n./adj.,1757
mix,n./v.,1759
