headword,pos,freq_rank,cefr
uncommon,a/adv,,B1
uncomplicated,a,,B2
uncrowded,a,,B1
undergrowth,n,,B2
unfamiliar,a,,B2
unforgettable,a,,B1
unsteady,a/vt,,B2
untidy,a,,B1
up to,,,A2
upcycle,,,B1
upload,,,B1
upside down,,,A2
urgently,adv,,B2
used to,,,A2
virtual reality,n,,B1
wake up,,,A2
warm up,,,A2
warmly,adv,,B1
wastewater,n,,B1
waterfront,n,,B2
waterway,n,,B2
wearable tech,,,B1
webpage,n,,B1
weigh up,,,B1
well-used,,,B1
whaling,n,,B2
what about,adv,,A2
what's more,,,A2
wheelchair,n,,B1
whiteboard,n,,B1
wi-fi,,,B2
wildfire,n,,B1
willpower,n,,B2
wiring,n,,B2
wisely,adv,,B1
without doubt,,,A2
wizard,n/a,,B1
work on,,,A2
work out,,,A2
working day,,,A2
workroom,n,,B2
world war ii,,,A2
worry about,,,A2
would like to,,,A2
would rather,,,A2
wow,n,,B1
write down,,,A2
yeah,adv,,B1
yogurt,n,,B1
yours sincerely,,,B1
